title,url,postDate,hood,description,compensation
Senior Product Manager - Partners/Merchants,https://sfbay.craigslist.org/sfc/sof/d/palo-alto-senior-product-manager/7500816322.html,2022-06-24 15:09, (Remote),"
        
            
            
        
As a Senior Product Manager for our partner ecosystem at Mudflap, you’ll influence a market-leading mobile and web based product used daily by tens of thousands of SMB trucking companies. These customers serve as the backbone of the U.S. economy by transporting trillions of dollars of goods that touch every American. You will be responsible for managing Mudflap’s partner products that span the merchant ecosystem and helping us expand into new categories. Successful candidates will have a history of managing products from ideation to launch and then helping to grow them into market leaders.    

In the role, you will: 

-Be the expert on the needs and profiles of our merchant partners, leading the efforts in growing the partnership base and expanding into different verticals
-Identify and translate complex partner challenges into an exciting and innovative product strategy and roadmap, and manage partner integrations
-Define product requirements and drive product development in line with established success criteria
-Collaborate with Engineering, Design, Business Development and Customer Success to successfully execute the product strategy
-Manage the entire product lifecycle for our partner segment from ideation to launch and be accountable for on-going success criteria and OKRs

You have:

-Product management experience on high-impact products during a time of significant user growth
-Ability to understand market opportunities and help to open up the opportunity to adapt modern technology for audiences who may not be as familiar with it
-Resourcefulness to get things done quickly, function independently, think strategically and prioritize in a highly ambiguous environment to solve difficult technical challenges
-Empathy–deliver outcomes that make customers’ lives better, and the mindset that the best products are built through collaboration. You are a strong advocate for the brand and for the customer. You relentlessly focus on taking an outside in approach to product management
-An ability to energize others into action. You collaborate effectively across the organization, building partnerships and advancing shared objectives
-Passion and eagerness to share the stories about your product with the rest of the team and across the industry 

Perks and Benefits (What we offer): 

-A flexible, remote-first company
-A team of talented individuals on a mission to change a $1 trillion industry for the better
-A high bar for quality and commitment to self-improvement 
-An open mind to new ideas and methodologies
-Competitive salary and benefit options
-Opportunities and support for massive career growth

Company overview (Who we are):

Mudflap is well-funded by top-tier venture investors, including QED, NFX and 500 Startups, and our core team hails from Goldman Sachs, Disney, American Express, Mastercard, Groupon, and Trucker Path, the #1 mobile app among truck drivers.

Here are the core values that we believe in and look for in new teammates:

-Put Customers First: We put our customers and partners at the center of everything we do.
-Be Curious: Have a learning mindset. Ask, wonder, dig, investigate. Share the joy of discovery.
-Sweat The Details: We create magical experiences by obsessing over every detail.
-Do The Right Thing: We operate with integrity and exercise good judgment, even if no one is watching.
-Find A Way: We push past roadblocks to get the best outcomes for our customers and our teammates.
-Own It: Show up prepared, be present, and make it count.
    ",Salary
Head of Payment Products,https://sfbay.craigslist.org/sfc/sof/d/palo-alto-head-of-payment-products/7500813869.html,2022-06-24 15:04, (Remote),"
        
            
            
        
As the Head of Payment Products at Mudflap, you’ll influence a market-leading mobile and web based product used daily by tens of thousands of SMB trucking companies. These customers serve as the backbone of the U.S. economy by transporting trillions of dollars of goods that touch every American. You will be responsible for managing Mudflap’s financial credit products and helping us expand into new categories. Successful candidates will have a history of managing credit products from ideation to launch and then helping to grow them into market leaders.    

In the role, you will: 

-Identify and translate complex challenges into an exciting and innovative product strategy and roadmap for our payments and credit verticals, and manage integrations
-Be the subject matter expert on payments technologies, integrations and strategy
-Define financial product requirements and drive product development in line with established success criteria
-Collaborate with Engineering, Design, Business Development and Customer Success to successfully execute the product strategy
-Manage the entire product lifecycle for financial products from ideation to launch and be accountable for on-going success criteria and OKRs

You have:

-Expertise in the consumer payments space
-Product management experience on high-impact products during a time of significant user growth
-Resourcefulness to get things done quickly, function independently, think strategically and prioritize in a highly ambiguous environment to solve difficult technical challenges
-Empathy to deliver outcomes that make customers’ lives better, and the mindset that the best products are built through collaboration. You are a strong advocate for the brand and for the customer. You relentlessly focus on taking an outside in approach to product management
-An ability to energize others into action. You collaborate effectively across the organization, building partnerships and advancing shared objectives
-Passion and eagerness to share the stories about your product with the rest of the team and across the industry 

Perks and Benefits (What we offer): 

-A flexible, remote-first company
-A team of talented individuals on a mission to change a $1 trillion industry for the better
-A high bar for quality and commitment to self-improvement 
-An open mind to new ideas and methodologies
-Competitive salary and benefit options
-Opportunities and support for massive career growth

Company overview (Who we are):

Mudflap is well-funded by top-tier venture investors, including QED, NFX and 500 Startups, and our core team hails from Goldman Sachs, Disney, American Express, Mastercard, Groupon, and Trucker Path, the #1 mobile app among truck drivers.

Here are the core values that we believe in and look for in new teammates:

-Put Customers First: We put our customers and partners at the center of everything we do.
-Be Curious: Have a learning mindset. Ask, wonder, dig, investigate. Share the joy of discovery.
-Sweat The Details: We create magical experiences by obsessing over every detail.
-Do The Right Thing: We operate with integrity and exercise good judgment, even if no one is watching.
-Find A Way: We push past roadblocks to get the best outcomes for our customers and our teammates.
-Own It: Show up prepared, be present, and make it count.
    ",Salary
"Embedded Engineer, Human-Centric AI | Toyota Research Institute",https://sfbay.craigslist.org/pen/sof/d/los-altos-embedded-engineer-human/7500443986.html,2022-06-23 18:11, (los altos),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/caa254c7/apply



 HireArt is helping Toyota Research Institute (TRI) hire an Embedded Engineer, Human-Centric AI who is passionate about deploying systems to improve the lives of millions through research and development.As an Embedded Engineer, Human-Centric AI, you'll: Design of high level software and network architectures from requirements.Provide implementation and integration of embedded software on various platforms e.g. x86 PCs, embedded ARM boards, NVIDIA Jetson, etc.Provide implementation of ROS packages and embedding APIs in ROS e.g. nodes, nodelets, RQT panels.Understand, support, and debug complex systems with electrical, mechanical and software aspects. Assist in developing requirements and system design.Revise/release drawings and documents for internal/external use.Collaborate with other members of the Human-Centered AI group.Communicate requirements to vendors and partners.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/caa254c7/apply


Requirements
Master's degree in Robotics Engineering, Electrical Engineering or related field 5+ years of relevant industry experienceExperience in Python and C++  Experience in ROS Experience in Docker Keen understanding of networking conceptsExcellent oral/written communicationAbility to understand, support, and work within a large multi-team projectAbility to understand and debug electrical and software systems Ability to overcome obstacles to get the job done with a can-do attitudeExperience in robotics is a plus    Commitment: This is a full-time, 1-year contract position staffed via HireArt and will be available to candidates local to the Los Altos, CA area. HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/caa254c7/apply



    ",Competitive
UX Researcher (New Products) | $88.00 - $99.00 per hour,https://sfbay.craigslist.org/pen/sof/d/menlo-park-ux-researcher-new-products/7500302944.html,2022-06-23 12:25, (menlo park),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/67ce3d55/apply



 HireArt is helping the world’s largest social network hire a UX Researcher (New Products) to partner with multiple cross-functional teams to conceive, build and launch brand new products.As a UX Researcher (New Products), you’ll: Collaborate closely with researchers, designers, project managers, and engineers to identify, define, and deliver meaningful products.Collaboratively and independently develop and execute research projects.Lead various research studies throughout all phases of the product development cycle.Contribute to product strategy, execution and go-to-market plan.Manage research vendors to help augment the work of the research team. Benefits: Pre-tax commuter benefitsEmployer (HireArt) Subsidized healthcare benefitsFlexible Spending Account for healthcare-related costsHireArt covers all costs for short and long term disability and life insurance401k package

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/67ce3d55/apply


Requirements
Bachelor's degree in a human behavior related field, such as human-computer interaction, psychology, sociology, communication, information science, media studies or computer science3+ years of relevant industry experience e.g. user experience, applied research setting, or product research and developmentEmbedded product research experience working closely with partners and stakeholders to identify research topicsAbility to design and execute end-to-end custom primary research using a wide variety of methodsProven ability to effectively manage/prioritize research plans through ambiguous and fast-changing environments, align and efficiently execute critical insights and work with a large group of stakeholdersExceptional verbal/written communication skills, problem solving skills, customer service and interpersonal skillsStrong ability to work independently and manage one’s timeExtensive experience with data and utilizing numbers to define and support hypothesesExtensive experience with storytelling to get traction with various audiencesExtensive experience with autonomy and decision making to balance demandsStrong mentoring skills necessary to provide support and constructive performance feedbackExperience with consumer products, consumer insights, or product developmentExperience conducting in-depth interviews/focus groups, concept testing or usability testingFamiliarity with relevant UX Research processes and tools e.g. UserZoom, UserTesting, dScout, OptimalSort Commitment:This is a full-time, 12-month contract position staffed via HireArt. It will be available to candidates local to the Menlo Park, CA; Los Angeles, CA; San Diego, CA; New York, NY and Houston, TX areas.HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas or employ corp-to-corp. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/67ce3d55/apply



    ",$88.00 - $99.00 per hour
"Calling all designers, developers, entrepreneurs!!!",https://sfbay.craigslist.org/eby/sof/d/oakland-calling-all-designers/7500293682.html,2022-06-23 12:07, (oakland lake merritt / grand),"
        
            
            
        
Hello, we are a technology accelerator deampotential.org working from Jack London Spaces Workspace (near plank). We are about 60 other teammates world wide working together on portfolio of products. 

This is an opportunity for mentorship, learning and growing new skills and also get ownership shares in multiple businesses via our accelerator program. 

I am looking for developers with python experience and or arduino programming as well in addition to html, reactjs etc. 
I am looking for designers with some experience and skill in Photoshop Figma, adobe, etc. 
I am also looking for other entrepreneurs and welcome anyone to get in touch.  

Give us a call or email a@dreampotential.org and lets can have a conversation and see how to move forward. 

We are looking for several people to round out our local Oakland, Jack London team.  

We have a beautiful office space with lots of sun light and plenty of space.  

https://www.dreampotential.org/
Aaron Rosen
8434259777
a@dreampotential.org
    ",open to converstation
UX Researcher (Social Experiences) | $68.00 - $77.00 per hour,https://sfbay.craigslist.org/pen/sof/d/burlingame-ux-researcher-social/7500208145.html,2022-06-23 09:31, (burlingame),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0a3530ca/apply



 HireArt is helping the world’s largest social network hire a UX Researcher (Social Experiences) to partner with other researchers and cross-functional stakeholders on projects to make VR more social for the company's users. Research is paramount to this organization’s success. Foundational research is needed to identify the right user needs and people problems to tackle with product/feature solutions. And iterative evaluative research with testable prototypes is needed to provide impactful insights to the design and development teams. In this role, you're guaranteed to be pushing the boundaries of VR and AR while working with the technology of tomorrow.  As a UX Researcher (Social Experiences), you’ll: Collaborate closely with researchers, designers, PMs, engineers to identify, define, and deliver meaningful social VR products and features for the Oculus platform.Collaboratively and independently develop and execute research projects.Lead various research studies throughout all the phases of the research cycle and contextualize insights for stakeholders.Work with stakeholders to influence product roadmaps and strategy based on research insights.Manage research vendors to help augment the work of the research team.Plan, design and conduct in-person research experiments to evaluate various hardware and software prototypes in AR/VR.   Benefits: Pre-tax commuter benefitsEmployer (HireArt) Subsidized healthcare benefitsFlexible Spending Account for healthcare-related costsHireArt covers all costs for short and long term disability and life insurance401k package

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0a3530ca/apply


Requirements
Bachelor's degree in a human behavior related field, such as human-computer interaction, psychology, sociology, communication, information science, media studies or computer science5+ years of UX Research experience working on a shipped product, conducting formative and evaluative researchStrong qualitative research skills, especially with conducting in-depth interviews, moderating prototype evaluation, performing thematic analysis of feedback, and generating clear narratives from itVerbal and written communication, problem solving, and interpersonal skillsStrong ability to work independently and manage your timeQuantitative data analysis and the ability to triangulate data from quantitative and qualitative sourcesExperience with storytelling to get traction with various audiencesExperience with autonomy and decision-making to balance demands and prioritizationStrong moderating skills for conducting in-person experiments evaluating hardware and software prototypesExperience using VR/AR/MR devices and apps is preferred   Commitment:This is a full-time, 9-month contract position staffed via HireArt and based in Burlingame, CA. It is available to candidates local to Burlingame, CA.HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas or employ corp-to-corp. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0a3530ca/apply



    ",$68.00 - $77.00 per hour
UX/UI Developer | $56.00 - $63.00 per hour,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-ux-ui-developer-per-hour/7500208086.html,2022-06-23 09:30, (financial district),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0529d6ac/apply



 HireArt is helping the world's largest social network find a UX/UI Developer to support its research project team work on external facing artifacts.In this role, you'll focus on building an interactive dataset explorer UI tool, a polished interactive demo, and the company's project website. You'll also implement new UI features in the company's internal annotation tool, based on feedback from the team and annotators during the ongoing data collection process.We're looking for candidates who have strong experience developing high-quality front end applications, with interactive components/visualizations, who can lead and own assigned areas. As a UX/UI Developer, you'll:   Engage with the research team in discussions to seek a deeper understanding of the dataset and demo goals.Collaborate closely with researchers, engineers, and designers in an iterative process to develop the dataset explorer, annotation UI tool, demo and website.Design, develop and modify UI tools, demo, and website. Own and drive these efforts.Identify and resolve performance, efficiency, and scalability issues.   Benefits: Pre-tax commuter benefits$25/month student loan contribution Employer (HireArt) Subsidized healthcare benefitsFlexible Spending Account for healthcare-related costsHireArt covers all costs for short and long term disability and life insurance401k package 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0529d6ac/apply


Requirements
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience4+ years of experience in software design and development4+ years of experience in professional UI development4+ years of experience with data-driven UI developmentProficiency in React, HTML, CSS, and JavascriptStrong communication and problem solving skillsExperience with Python, Flask and Amazon Web Services (i.e. setting up servers, load balancing, etc.) is a plusSome knowledge of PHP is a plus   Commitment:This is a full-time, 6-month contract position staffed via HireArt and based in San Francisco, CA.   HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas or hire corp-to-corp. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/0529d6ac/apply



    ",$56.00 - $63.00 per hour
Senior Programmer Analyst - County of Sonoma,https://sfbay.craigslist.org/nby/sof/d/santa-rosa-senior-programmer-analyst/7500192416.html,2022-06-23 09:03, (santa rosa),"
        
            
            
        
The County of Sonoma Information Systems Department (ISD) seeks talented Senior Programmer Analysts to join our Integrated Justice and Applications Development Teams!

Starting salary up to $56.58/hour ($118,089/year), a cash allowance of $600/month, and a competitive total compensation package!*
 
Working at the County of Sonoma offers expansive opportunities for growth and development, the ability to be a part of a challenging and rewarding work environment, and the satisfaction of knowing you're working to better our communities. You can also look forward to flexible work arrangements and excellent benefits* including:
 
A hybrid telework schedule that meets the needs of our staff, department operations, and the communities we serve
Eligibility for a salary increase after 1,040 hours (6 months when working full-time) for good work performance; eligibility for a salary increase for good performance every year thereafter, until reaching the top of the salary range
Competitive vacation and sick leave accruals, 12 paid holidays, and an additional 8 floating holiday hours per year
County paid 100% premium contribution for the majority of employee-only and employee + family health plan options
An annual Staff Development/Wellness Benefit allowance of up to $500 and ongoing education/training opportunities
County contribution to a Health Reimbursement Arrangement to help fund post-retirement employee health insurance/benefits
Retirement fully integrated with Social Security
May be eligible for up to 8 weeks (320 hours) of Paid Parental Leave after 12 months of County employment

ISD is also recruiting for Programmer Analyst positions. If you are also interested in the Programmer Analyst level role, you must submit a separate application to the recruitment currently being conducted for that level.

Join Our Team

These positions are assigned to our Enterprise Development Division and provide support for County systems such as the Enterprise Financial System (EFS), Human Resource Information System (HRIS), the Integrated Justice System (IJS), and the Content Management System (CMS), as well as many departmental lines of business applications.
 
Senior Programmer Analyst duties vary from position to position within the Division, and may function as the technical lead for one or more software applications. Typical duties include systems design, software development, implementation, testing, documentation, maintenance and support, business analysis and project management. Senior Programmer Analysts work under the guidance and direction of an IT Project Manager, but have considerable independence in determining the best solutions to business problems. Senior Programmer Analysts often have extensive interaction with department managers and end-users to understand their business objectives and develop systems and processes that meet those needs.
 
The ideal candidates for these positions have:

3 to 5 years of experience with software development life cycle (SDLC) and related methodologies (Agile, Waterfall), Project Management, data integration, and production support for an enterprise system
3 to 5 years of experience working with relational databases including SQL Server and Oracle.   
The ability to develop complex SQL, stored procedures, and use of triggers
At least 5 years of experience with Microsoft technologies including .Net Framework, ASP.NET/MVC, Visual Studio, Team Foundation Services, Web Services (SOAP, REST), Windows Services, WPF/WinForms, MS365, MS Access
Strong programming experience and languages
Functional knowledge in any of the following areas: Financial/Accounting, HR/Payroll, or Criminal Justice concepts including case flow from creation through sentencing
Knowledge of non-relational DBs (Mongodb, OLAP)

Additionally, any of the following knowledge and experience is highly desirable:

Development in object-based languages (C#, Java)  
N-Tier application development and support
Data integration based on Web Services (SOAP, REST), SFTP, SQL Polling
Middleware service bus such as BizTalk, MuleSoft, SSIS
Microsoft SQL Server technologies such as SSIS, SSRS, Machine Learning Services, and SQL Server Management Studio
Troubleshooting and data analysis of complex software systems
Multi-platform application development and support (Linux and Microsoft)
Business object frameworks such as CSLA, Entity Framework
Cloud development and architecture technologies; AWS/Azure, Azure SQL data warehouse, Office 365, Dynamics, Docker or other container technologies, Dev/ops software, GitLab
Cloud Services/Web Hosting providers, WAF, Email Services, Registrars, DNS

Please Note: These positions are required to have access to Sheriff’s Office or Probation Department facilities or view data or work with information systems for these departments. This requires that a more extensive “Security Clearance” be performed after hire by the Sonoma County Sheriff’s Office. Successful completion of the probationary period will be contingent upon passing the security clearance, which includes a Live Scan fingerprint-based check of the California Department of Justice (DOJ) and Federal Bureau of Investigations (FBI) criminal records. If you are offered a position, which requires a security clearance, the job offer letter will clearly specify this as a condition of the probationary period.
 
Please note that ISD recognizes the new County Telework Policy, at this time these positions will work both remotely and on-site. Under direction of the department head, employees may work up to four days remotely per a week, though some positions may require more on-site presence.

*Salary is negotiable within the established range and benefits described herein do not represent a contract and may be changed without notice. For more information, including minimum qualifications, & to apply, visit www.yourpath2sonomacounty.org or call 707-565-2331. The County of Sonoma is an Equal Opportunity Employer. We value diversity and are committed to having a workforce that is representative of the communities we serve. Apply by 7/12/22
    ","$8,096 - $9,840/Monthly"
Programmer Analyst - County of Sonoma,https://sfbay.craigslist.org/nby/sof/d/santa-rosa-programmer-analyst-county-of/7500181799.html,2022-06-23 08:44, (santa rosa),"
        
            
            
        
The County of Sonoma Information Systems Department (ISD) seeks talented Programmer Analysts to join our Integrated Justice and Applications Development Teams!

Starting salary up to $47.32/hour ($98,762/year), a cash allowance of $600/month, and a competitive total compensation package!*

Working at the County of Sonoma offers expansive opportunities for growth and development, the ability to be a part of a challenging and rewarding work environment, and the satisfaction of knowing you're working to better our communities. You can also look forward to flexible work arrangements and excellent benefits* including:
 
A hybrid telework schedule that meets the needs of our staff, department operations, and the communities we serve
Eligibility for a salary increase after 1,040 hours (6 months when working full-time) for good work performance; eligibility for a salary increase for good performance every year thereafter, until reaching the top of the salary range
Competitive vacation and sick leave accruals, 12 paid holidays, and an additional 8 floating holiday hours per year
County paid 100% premium contribution for the majority of employee-only and employee + family health plan options
An annual Staff Development/Wellness Benefit allowance of up to $500 and ongoing education/training opportunities
County contribution to a Health Reimbursement Arrangement to help fund post-retirement employee health insurance/benefits
Retirement fully integrated with Social Security
May be eligible for up to 8 weeks (320 hours) of Paid Parental Leave after 12 months of County employment

ISD is also recruiting for Senior Programmer Analyst positions. If you are also interested in the Senior level role, you must submit a separate application to the recruitment currently being conducted for that level.

Join our Enterprise Development Division

ISDs Enterprise Development Division supports the County’s Financial, Budget, and Human Resource systems along with the Integrated Justice System, County Web sites, GIS, and over 50 departmental lines of business applications. These unique Programmer Analysts positions will support our Applications Development Team or our Integrated Justice Systems Team, and their primary role may vary from assignment to assignment. However, their typical duties will involve all aspects of the software development lifecycle, and they will often directly interact with business owners and end-users to understand their needs and develop systems and processes that meet those needs. To effectively support our clients, ISD is looking for candidates with strong customer service skills, who are organized and are good communicators. Team players who love to learn and are looking for growth opportunities would be a good fit for these positions.

Our Teams

The Applications Development Team develops & maintains both business area-specific and County Wide applications in support of the diverse needs of our business partners that are spread over 22 departments. As a well-qualified candidate for this team you will bring your programming and database skills in at least some of the following areas:

Visual Studio (C#, .Net, MVC, Blazor, Razor), Python, JavaScript, Oracle, SQL Server, and Data modeling
Experience building interfaces, reports, and use of ETL tools; Microsoft SQL Server, SQL Server Reporting Services, and SQL Server Integration Services
Experience working with web services (e.g., REST), API, BizTalk
PeopleSoft skills are a plus

The Integrated Justice Team is responsible for a host of custom Criminal Justice applications and interfaces. As a well-qualified candidate for this team you will demonstrate strong analytical and problem-solving skills and have:

Experience with the development of object-based languages (.Net, Java)
An understanding of relational databases (SQL Server, Oracle, Informix) and relational database reporting tools (SQL Server Reporting Services, Crystal)
The ability to support client/server and web-based third-party application suites
The ability to manage priority levels for reported defects, escalating when necessary, and assist in defecting resolution by developing and testing code or data fixes, and monitoring error logs

Please Note: These positions are required to have access to Sheriff’s Office or Probation Department facilities or view data or work with information systems for these departments. This requires that a more extensive “Security Clearance” be performed after hire by the Sonoma County Sheriff’s Office. Successful completion of the probationary period will be contingent upon passing the security clearance, which includes a Live Scan fingerprint-based check of the California Department of Justice (DOJ) and Federal Bureau of Investigations (FBI) criminal records. If you are offered a position, which requires a security clearance, the job offer letter will clearly specify this as a condition of the probationary period.
 
Please note that ISD recognizes the new County Telework Policy, at this time these positions will work both remotely and on-site. Under the direction of the department head, employees may work up to four days remotely per week, though some positions may require more on-site presence.

*Salary is negotiable within the established range and benefits described herein do not represent a contract and may be changed without notice. For more information, including minimum qualifications, & to apply, visit www.yourpath2sonomacounty.org or call 707-565-2331. The County of Sonoma is an Equal Opportunity Employer. We value diversity and are committed to having a workforce that is representative of the communities we serve. Apply by 7/12/22
    ","$6,770 - $8,230/Monthly"
Software Engineer - Remote Optional,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-software-engineer-remote/7500158449.html,2022-06-23 08:01, (city of san francisco),"
        
            
            
        
Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000+ companies looking for jobseekers just like you.Companies on Hired apply to you! You'll receive salary and compensation details up front - before the interview. By crafting a profile on Hired, we're confident that you'll find a job you'll love!Software Engineers continue to be one of the most exciting and sought after developer jobs available. Engineers code websites or applications on both the server and the user-facing side. It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed. As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done. Common ResponsibilitiesThe development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills & Experiences Our Employers Need4+ Years of experience with Backend web development.4+ Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be NiceGood communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? Click here to apply.     ",To be determined.
